account_canonical_id,run_datetime,tripped,trigger,domain,excess_cash_amount
tfsa-d6u0bqon,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
tfsa-qipospjs,2024-07-10T13:30:16.627990,TRUE,Excess cash,Assets,
group-rrsp-z3jk_5vm,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
group-rrsp-ewligzie,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
tfsa-w-hvmolc,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,
non-registered-rlDhiQOApg,2024-07-09T16:18:58.633409,TRUE,Portfolio rebalance,Assets,
tfsa-2drjxet8,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
tfsa-anwiu01q,2024-07-10T13:30:16.627990,TRUE,Excess cash,Assets,
tfsa-eelgtdya,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
non-registered-qobes1sj,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,
tfsa-eueuuleu,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
rrsp-ocu4jsiv,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,
tfsa-tz4ewlsu,2024-07-10T13:30:16.627990,TRUE,Portfolio rebalance,Assets,
group-rrsp-ex-ibqhn,2024-07-15T16:23:37.828992,TRUE,Portfolio rebalance,Assets,
tfsa-xlUl_NNl-g,2024-07-15T16:23:37.828992,TRUE,Portfolio rebalance,Assets,
rrsp-m865xou5,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,
non-registered-0hbf7l6l,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
rrsp-dglcej8q,2024-07-10T13:30:16.627990,TRUE,Excess cash,Assets,
tfsa-lduioxut,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,
tfsa-QqcpaXJQ3A,2024-07-15T13:30:16.884010,TRUE,Portfolio rebalance,Assets,
tfsa-f3piahnl,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
tfsa-walwhywh,2024-07-10T13:30:16.627990,TRUE,Excess cash,Assets,
non-registered-mdtncnkb,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
tfsa-0ncsz9cz,2024-07-11T13:30:15.582749,TRUE,Excess cash,Assets,
rrsp-j-kn7uni,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,
rrsp-j-kn7uni,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
tfsa-m5en8172,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
non-registered-ejc4b9w_,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,
tfsa-gbkgbfrq,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
tfsa-fygeoqv8,2024-07-12T13:30:17.148257,TRUE,Portfolio rebalance,Assets,
tfsa-jxu7nmoy,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
tfsa-ocd1ajdu,2024-07-11T13:30:15.582749,TRUE,Excess cash,Assets,
tfsa-rv-9vpti,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,
non-registered-7nq3s6uy,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
tfsa-hnkdivuy,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
non-registered-o0wkvpw,2024-07-15T16:23:37.828992,TRUE,Portfolio rebalance,Assets,
tfsa-EZPjaRU5zA,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
tfsa-r6ltwr0_,2024-07-11T13:30:15.582749,TRUE,Excess cash,Assets,
tfsa-wmkfwiqm,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
tfsa-bsBLpuPd7A,2024-07-15T16:23:37.828992,TRUE,Portfolio rebalance,Assets,
joint-zbab8hrt,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
tfsa-vb2b9djh,2024-07-15T16:23:37.828992,TRUE,Portfolio rebalance,Assets,
tfsa-NZzWgsFlYA,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
rrsp-gm73tpep,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
tfsa-dtmr6rwl,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
non-registered-w2qga1j9,2024-07-10T13:30:16.627990,TRUE,Excess cash,Assets,
tfsa-ls-e_cey,2024-07-11T13:30:15.582749,TRUE,Excess cash,Assets,
non-registered-vhh71kgt,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
non-registered-zpyl9jtu,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,
tfsa-jslpvqch,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
tfsa-3l-AZidPUQ,2024-07-10T13:30:16.627990,TRUE,Excess cash,Assets,
tfsa-cgpjtgu5,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
tfsa-hH2w3xOEhg,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
tfsa-7hrvdyqn,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
tfsa-9F55fp0LXA,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
tfsa-a26gbh6i,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
non-registered-rx8n-v1b,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
tfsa-u3ju4yba,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
non-registered-wjoli04,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
tfsa-effz6eax,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
tfsa-uJK2QHFV5A,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,
tfsa-2jmxmlvt,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
non-registered-jpblycxh,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
tfsa-TnbiTXTFxQ,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,
non-registered-oafl47bm,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
rrsp-gxy0tg8r,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
tfsa-upgcjvg3,2024-07-15T13:30:16.884010,TRUE,Portfolio rebalance,Assets,
tfsa-5vt1h5-i,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
tfsa-eqrqpgcn,2024-07-09T16:18:58.633409,TRUE,Liquidation,Assets,
rrsp-yxlyZf9ecA,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,
tfsa-UmwOtqsC2Q,2024-07-15T13:30:16.884010,TRUE,Portfolio rebalance,Assets,
tfsa-ncoyjzrn,2024-07-10T13:30:16.627990,TRUE,Excess cash,Assets,
tfsa-ynpe6xqi,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
rrsp-ty5pegfs,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
resp-rpudyyg7,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
tfsa-vdXuAnRbIQ,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
tfsa-h0o2xdsa,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
rrsp-jyeqgpfq,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
tfsa-arCPhqgqFQ,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,
tfsa-TUyXMTUUwA,2024-07-15T13:30:16.884010,TRUE,Portfolio rebalance,Assets,
rrsp-dJr0-EwNcw,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
tfsa-hgy2jqif,2024-07-10T13:30:16.627990,TRUE,Excess cash,Assets,
tfsa-qtwarcqy,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,
tfsa-pl-qqeyj,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
tfsa-eblt5cpe,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
tfsa-arCPhqgqFQ,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,
tfsa-rv-9vpti,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
rrsp-VtVvs78ZCg,2024-07-15T16:23:37.828992,TRUE,Portfolio rebalance,Assets,
non-registered-ohpa9ygc,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,
rrsp-lma2j9iu,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
rrsp-Fh4mpLG6AA,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
tfsa-czghez1r,2024-07-10T13:30:16.627990,TRUE,Excess cash,Assets,
tfsa-dlg83xfi,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
tfsa-lwa4-l3l,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
tfsa-jzsfgekf,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
tfsa-fo2bdxwl,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,
tfsa-xv6cf020,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
tfsa-aibuu1mn,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
non-registered-zpnwf1q1,2024-07-15T13:30:16.884010,TRUE,Portfolio rebalance,Assets,
rrsp-lr4qqhty,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
non-registered-rl3cfhhw,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
tfsa-ji054zmc,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
non-registered-iuabh0ub,2024-07-10T13:30:16.627990,TRUE,Excess cash,Assets,
non-registered-wf5n2wsy,2024-07-10T13:30:16.627990,TRUE,Excess cash,Assets,
non-registered-f-k6xbzd,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
rrsp-pc1eoq1z,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
rrsp-6Xe50CAP2w,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
tfsa-70ji0plq,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
non-registered-kve1zdey,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
tfsa-htc0hw_o,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
